id|datetm|cui|type|polarity|text
575043016311898112|Mon Mar 09 21:18:33 UTC 2015|C0006826|2|1|Cancer
575043016311898112|Mon Mar 09 21:18:33 UTC 2015|C0042789|3|1|sight
575044663314280449|Mon Mar 09 21:25:06 UTC 2015|C0524222|5|1|Oxycontin
575044663314280449|Mon Mar 09 21:25:06 UTC 2015|C0722364|1|1|Oxycontin
575044663314280449|Mon Mar 09 21:25:06 UTC 2015|C1328247|2|1|abuse
575044663314280449|Mon Mar 09 21:25:06 UTC 2015|C0562381|3|1|abuse
579018374400774144|Fri Mar 20 20:35:12 UTC 2015|C0018592|3|1|joy
579018374400774144|Fri Mar 20 20:35:12 UTC 2015|C0021400|2|1|flu
579018374400774144|Fri Mar 20 20:35:12 UTC 2015|C0080194|2|1|Strain
579018374400774144|Fri Mar 20 20:35:12 UTC 2015|C0011884|2|1|dr
579018374400774144|Fri Mar 20 20:35:12 UTC 2015|C0022885|5|1|test
579018428549357568|Fri Mar 20 20:35:25 UTC 2015|C0005767|6|1|Blood
575046211301937152|Mon Mar 09 21:31:15 UTC 2015|C0021400|2|1|flu
575046211301937152|Mon Mar 09 21:31:15 UTC 2015|C0032285|2|1|pneumonia
575046211301937152|Mon Mar 09 21:31:15 UTC 2015|C0021400|2|-1|flu
575047347626897408|Mon Mar 09 21:35:46 UTC 2015|C0021400|2|1|flu
575048690836094976|Mon Mar 09 21:41:06 UTC 2015|C1522449|5|1|RT
575048708271697920|Mon Mar 09 21:41:10 UTC 2015|C1522449|5|1|RT
575048718157742080|Mon Mar 09 21:41:12 UTC 2015|C1522449|5|1|RT
575048758410502144|Mon Mar 09 21:41:22 UTC 2015|C1522449|5|1|RT
575048762890018817|Mon Mar 09 21:41:23 UTC 2015|C1522449|5|1|RT
575048763108098049|Mon Mar 09 21:41:23 UTC 2015|C1522449|5|1|RT
579024539880931328|Fri Mar 20 20:59:42 UTC 2015|C0939400|1|1|Nexium
579024539880931328|Fri Mar 20 20:59:42 UTC 2015|C0557854|3|1|Services
579024539880931328|Fri Mar 20 20:59:42 UTC 2015|C0015780|3|1|F
575048947783200768|Mon Mar 09 21:42:07 UTC 2015|C1522449|5|1|RT
575049792067366913|Mon Mar 09 21:45:28 UTC 2015|C0037813|5|1|MS
575049792067366913|Mon Mar 09 21:45:28 UTC 2015|C0026769|2|1|MS
575050102907138050|Mon Mar 09 21:46:43 UTC 2015|C1522449|5|1|RT
575053075867635712|Mon Mar 09 21:58:31 UTC 2015|C0020517|2|1|allergy
575053148903055361|Mon Mar 09 21:58:49 UTC 2015|C1522449|5|1|RT
579026465053929472|Fri Mar 20 21:07:21 UTC 2015|C1170625|1|1|suboxone
579026465053929472|Fri Mar 20 21:07:21 UTC 2015|C0202418|5|1|methadone
579026465053929472|Fri Mar 20 21:07:21 UTC 2015|C0013853|5|1|eng
579026614605885440|Fri Mar 20 21:07:57 UTC 2015|C0087111|5|1|treatment
579026614605885440|Fri Mar 20 21:07:57 UTC 2015|C1533734|5|1|treatment
579026618770935808|Fri Mar 20 21:07:58 UTC 2015|C1522449|5|1|RT
579026920744099842|Fri Mar 20 21:09:10 UTC 2015|C1522449|5|1|RT
579026920744099842|Fri Mar 20 21:09:10 UTC 2015|C0524222|5|1|Oxycontin
579026920744099842|Fri Mar 20 21:09:10 UTC 2015|C0722364|1|1|Oxycontin
579026920744099842|Fri Mar 20 21:09:10 UTC 2015|C0015663|3|1|Fast
575057922230730754|Mon Mar 09 22:17:47 UTC 2015|C0018834|3|1|heartburn
575057922230730754|Mon Mar 09 22:17:47 UTC 2015|C0723950|1|1|Tums
575057922230730754|Mon Mar 09 22:17:47 UTC 2015|C0939400|1|1|Nexium
579030167537852416|Fri Mar 20 21:22:04 UTC 2015|C0524222|5|1|OxyContin
579030167537852416|Fri Mar 20 21:22:04 UTC 2015|C0722364|1|1|OxyContin
579030363659313152|Fri Mar 20 21:22:51 UTC 2015|C1522449|5|1|RT
579030363659313152|Fri Mar 20 21:22:51 UTC 2015|C0524222|5|1|OxyContin
579030363659313152|Fri Mar 20 21:22:51 UTC 2015|C0722364|1|1|OxyContin
579030612465491968|Fri Mar 20 21:23:50 UTC 2015|C1522449|5|1|RT
579030612465491968|Fri Mar 20 21:23:50 UTC 2015|C0524222|5|1|OxyContin
579030612465491968|Fri Mar 20 21:23:50 UTC 2015|C0722364|1|1|OxyContin
579030622695530496|Fri Mar 20 21:23:52 UTC 2015|C1522449|5|1|RT
579030622695530496|Fri Mar 20 21:23:52 UTC 2015|C0524222|5|1|OxyContin
579030622695530496|Fri Mar 20 21:23:52 UTC 2015|C0722364|1|1|OxyContin
579030879969943553|Fri Mar 20 21:24:54 UTC 2015|C0024554|3|1|m
579030879969943553|Fri Mar 20 21:24:54 UTC 2015|C0087169|3|1|withdrawal symptoms
579030879969943553|Fri Mar 20 21:24:54 UTC 2015|C1457887|3|1|symptoms
575061696324173825|Mon Mar 09 22:32:47 UTC 2015|C0524222|5|1|Oxycontin
575061696324173825|Mon Mar 09 22:32:47 UTC 2015|C0722364|1|1|Oxycontin
579032307027210240|Fri Mar 20 21:30:34 UTC 2015|C1522449|5|1|RT
579032307027210240|Fri Mar 20 21:30:34 UTC 2015|C0524222|5|1|OxyContin
579032307027210240|Fri Mar 20 21:30:34 UTC 2015|C0722364|1|1|OxyContin
579033603201482752|Fri Mar 20 21:35:43 UTC 2015|C1522449|5|1|RT
579033603201482752|Fri Mar 20 21:35:43 UTC 2015|C0524222|5|1|Oxycontin
579033603201482752|Fri Mar 20 21:35:43 UTC 2015|C0722364|1|1|Oxycontin
579033603201482752|Fri Mar 20 21:35:43 UTC 2015|C0039101|2|1|ss
579034205457395714|Fri Mar 20 21:38:07 UTC 2015|C1522449|5|1|RT
